url,status_code,content_type,last_modified,content_length,size,referrer,timestamp
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-m-verso/smthumb/,200,image/jpeg,,2876,2876,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.257492
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-p-recto/smthumb@2x/,200,image/jpeg,,19011,19011,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.259456
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-o-verso/smthumb@2x/,200,image/jpeg,,10239,10239,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.325280
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-m-recto/smthumb/,200,image/jpeg,,6494,6494,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.327699
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-l-verso/smthumb/,200,image/jpeg,,2895,2895,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.360891
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-o-recto/smthumb@2x/,200,image/jpeg,,23286,23286,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.407835
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-l-recto/smthumb/,200,image/jpeg,,6454,6454,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.467023
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-k-verso/smthumb/,200,image/jpeg,,2910,2910,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.511487
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-k-recto/smthumb/,200,image/jpeg,,6342,6342,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.616810
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-n-verso/smthumb@2x/,200,image/jpeg,,9353,9353,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.807092
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-n-recto/smthumb@2x/,200,image/jpeg,,23212,23212,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.838970
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-m-verso/smthumb@2x/,200,image/jpeg,,8944,8944,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.882481
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-j-verso/smthumb/,200,image/jpeg,,2862,2862,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.909864
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-j-recto/smthumb/,200,image/jpeg,,6265,6265,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:45.973195
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-k-verso/smthumb@2x/,200,image/jpeg,,8680,8680,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.038812
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-i-verso/smthumb/,200,image/jpeg,,2788,2788,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.064789
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-l-recto/smthumb@2x/,200,image/jpeg,,23347,23347,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.113583
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-l-verso/smthumb@2x/,200,image/jpeg,,8836,8836,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.119950
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-i-recto/smthumb/,200,image/jpeg,,6409,6409,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.172561
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-h-verso/smthumb/,200,image/jpeg,,2821,2821,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.232232
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-m-recto/smthumb@2x/,200,image/jpeg,,23410,23410,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.306751
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-h-recto/smthumb/,200,image/jpeg,,5353,5353,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.320150
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-k-recto/smthumb@2x/,200,image/jpeg,,22841,22841,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.406618
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-g-verso/smthumb/,200,image/jpeg,,2954,2954,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.412741
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-g-recto/smthumb/,200,image/jpeg,,5457,5457,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.512940
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-h-verso/smthumb@2x/,200,image/jpeg,,9011,9011,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.789925
https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/images/pp-388-389-insertion-j-recto/smthumb@2x/,200,image/jpeg,,23103,23103,https://derridas-margins.princeton.edu/library/derrida-de-la-grammatologie-1967/gallery/,2024-05-14T15:50:46.807467
